car_name,model,mileage(Km),year,condition,price(₦)
Toyota,Venza,187497,2009,NigerianUsed,4490000
Lexus,Is,138024,2010,ForeignUsed,6506000
Chevrolet,REZZO,133198,2003,ForeignUsed,1802000
Toyota,Camry,120360,2007,NigerianUsed,2586000
Toyota,Camry,92331,2007,NigerianUsed,2810000
Mazda,3,88829,2009,ForeignUsed,2138000
Hyundai,Sonata,265279,2009,ForeignUsed,2810000
Toyota,Camry,249606,2002,NigerianUsed,1354000
Peugeot,306,181021,2003,NigerianUsed,794000
Honda,Accord,187882,2008,NigerianUsed,1242000
Toyota,Matrix,89391,2007,ForeignUsed,2810000
Toyota,Camry,194621,2004,NigerianUsed,1634000
Toyota,Corolla,96347,2013,NigerianUsed,2866000
Hyundai,Elantra,256932,2004,NigerianUsed,932500
Toyota,Avensis,153987,2001,NigerianUsed,962000
Hyundai,Accent,112233,2011,NigerianUsed,850000
Toyota,Venza,148334,2011,NigerianUsed,5162000
Hyundai,Sonata,52252,2011,NigerianUsed,2362000
Mercedes-Benz,Gl550,52918,2008,NigerianUsed,5050000
Toyota,Sienna,124270,2012,NigerianUsed,3157000
Kia,Sorento,181197,2010,NigerianUsed,2810000
Toyota,Sienna,111436,2005,NigerianUsed,1522000
Lexus,Lx,245546,0,NigerianUsed,1690000
Kia,Sedona,107965,2006,NigerianUsed,1690000
Mercedes-Benz,E300,43774,2017,ForeignUsed,23754000
Ford,Focus,208524,2003,NigerianUsed,906000
Mercedes-Benz,C320,256781,2001,NigerianUsed,794000
Honda,Accord,203690,1999,NigerianUsed,626000
Mercedes-Benz,E350,86233,2006,NigerianUsed,2026000
Toyota,Corolla,299999,2003,NigerianUsed,1690000
Toyota,Venza,67505,2013,ForeignUsed,8074000
Toyota,Yaris,90740,2014,NigerianUsed,1578000
Lexus,Es,243959,2004,NigerianUsed,2250000
Mazda,Cx-9,131581,2007,ForeignUsed,3258000
Mazda,Cx-9,121752,2008,ForeignUsed,2810000
Toyota,Sienna,154105,2000,NigerianUsed,794000
Toyota,Camry,139559,2003,NigerianUsed,1690000
Hyundai,Santamo,236342,1999,NigerianUsed,682000
Toyota,Venza,123525,2009,NigerianUsed,5050000
Honda,Accord,98568,2003,NigerianUsed,514000
Infiniti,Qx,212718,1998,NigerianUsed,1130000
Nissan,Pathfinder,323537,2006,NigerianUsed,1354000
Toyota,4Runner,139118,2004,NigerianUsed,1746000
Nissan,Sentra,59567,2013,NigerianUsed,1914000
Toyota,Corolla,54235,2010,ForeignUsed,4154000
Lexus,Rx,103350,2012,NigerianUsed,7066000
Ford,Edge,215034,2007,ForeignUsed,3594000
Ford,Explorer,93798,2011,NigerianUsed,3930000
Lexus,Rx,222062,2007,NigerianUsed,3706000
Chevrolet,Aveo,136309,2009,NigerianUsed,738000
Honda,Odyssey,72390,2014,NigerianUsed,6730000
Lexus,Is,172691,2006,NigerianUsed,2138000
Honda,Accord,111209,2009,NigerianUsed,1690000
Nissan,Pathfinder,177661,2005,ForeignUsed,1690000
Toyota,Corolla,178658,2008,NigerianUsed,1970000
Nissan,Xterra,160102,2002,NigerianUsed,514000
Toyota,Matrix,209167,2007,ForeignUsed,2754000
Renault,Duster,82123,2012,NigerianUsed,1690000
Toyota,Highlander,214995,2004,NigerianUsed,2698000
Honda,Accord,64909,2010,NigerianUsed,2250000
Toyota,Rav4,83279,2008,NigerianUsed,3216250
Toyota,Highlander,335343,2008,NigerianUsed,5162000
