car_name,model,mileage(Km),year,condition,price(₦)
Audi,A6,170226,2007,NigerianUsed,1694500
Mazda,Cx-9,229880,2007,ForeignUsed,3146000
Toyota,Corolla,230038,2003,ForeignUsed,2485000
Honda,Accord,200929,2003,NigerianUsed,850000
Toyota,Camry,36525,2018,ForeignUsed,10650000
Honda,Accord,192342,2006,ForeignUsed,1298000
Toyota,Avensis,247437,2003,NigerianUsed,1018000
Toyota,VERSO,119283,2003,ForeignUsed,2698000
Honda,Accord,73356,2008,NigerianUsed,1578000
Toyota,Corolla,273557,2004,NigerianUsed,1802000
Lexus,Rx,90636,2004,NigerianUsed,2250000
Peugeot,206,90568,2004,NigerianUsed,906000
Toyota,Corolla,244434,2003,NigerianUsed,1522000
Toyota,Venza,50683,2011,NigerianUsed,6730000
Ford,Transit,213903,2003,NigerianUsed,1578000
Honda,Odyssey,209154,2007,ForeignUsed,3370000
Honda,Pilot,201786,2003,NigerianUsed,1130000
Ford,Focus,40555,2014,NigerianUsed,1712400
Toyota,Matrix,182832,2005,NigerianUsed,1746000
Honda,Cr-V,115409,2007,NigerianUsed,1690000
Land,Rover,34236,2013,NigerianUsed,11260000
Honda,Accord,1992402,1990,NigerianUsed,402000
Toyota,Sienna,222742,2005,NigerianUsed,1690000
Kia,Sportage,35131,2017,NigerianUsed,10090000
Toyota,Camry,159541,2012,NigerianUsed,2698000
Kia,Sportage,83768,2009,NigerianUsed,1354000
Mercedes-Benz,C230,219795,2007,NigerianUsed,1578000
BMW,3,153519,2004,NigerianUsed,1130000
Mazda,3,181168,2003,NigerianUsed,1130000
Mazda,Cx-7,114130,2011,ForeignUsed,3100000
Ford,Ranger,243345,2013,NigerianUsed,2250000
Mitsubishi,Galant,147572,1999,NigerianUsed,570000
Toyota,Venza,78310,2012,NigerianUsed,6730000
TOYOTA,Corolla,170943,2005,NigerianUsed,2474000
Toyota,4Runner,223887,2005,ForeignUsed,3930000
Mitsubishi,Outlander,196353,2003,NigerianUsed,1130000
Toyota,Highlander,103456,2013,NigerianUsed,6842000
Toyota,4Runner,351002,1999,NigerianUsed,738000
Pontiac,Vibe,185319,2009,NigerianUsed,2362000
Ford,Edge,213096,2008,ForeignUsed,2819500
Toyota,Matrix,142819,2004,NigerianUsed,1690000
Hyundai,Accent,167562,2007,NigerianUsed,1298000
Honda,Accord,148146,2008,NigerianUsed,1914000
Lexus,Es,7497,2005,NigerianUsed,1802000
Lexus,Rx,132407,2000,NigerianUsed,1914000
Mercedes-Benz,E320,356869,2003,NigerianUsed,1578000
Ford,Explorer,125629,2008,NigerianUsed,3146000
Toyota,Venza,103019,2009,ForeignUsed,6618000
Mercedes-Benz,E320,132573,2002,ForeignUsed,3146000
Volkswagen,Golf,262043,1993,NigerianUsed,738000
Toyota,Avalon,141814,2005,NigerianUsed,1578000
Nissan,Altima,173685,2002,NigerianUsed,853750
Honda,Accord,231497,2005,NigerianUsed,906000
Honda,Pilot,201542,2003,NigerianUsed,1130000
Honda,Cr-V,161749,1997,NigerianUsed,514000
Toyota,Avensis,999999,2002,NigerianUsed,1018000
Toyota,Echo,156477,2000,NigerianUsed,760400
Toyota,Highlander,251583,2005,NigerianUsed,2250000
Toyota,Camry,47828,2008,NigerianUsed,2586000
Toyota,Camry,138447,2011,ForeignUsed,4154000
Honda,Odyssey,40206,2007,NigerianUsed,2250000
Lexus,Es,161528,2005,NigerianUsed,2362000
Volkswagen,Amarok,57115,2014,NigerianUsed,5050000
Lexus,Gx460,94040,2015,ForeignUsed,22410000
Toyota,4Runner,105904,2014,ForeignUsed,16275000
Lexus,Rx,10221,2019,ForeignUsed,23100000
Toyota,4Runner,44916,2017,ForeignUsed,19950000
Toyota,Highlander,259776,2006,ForeignUsed,3500000
Ssangyong,actyon,32850,2007,ForeignUsed,1837500
Kia,Soul,14580,2015,ForeignUsed,5775000
Toyota,Highlander,5320,2017,ForeignUsed,19425000
Lexus,Es,184827,2009,ForeignUsed,4000000
Toyota,Sienna,90280,2013,ForeignUsed,5050000
Nissan,Pathfinder,198621,2001,NigerianUsed,906000
Toyota,Camry,216661,2005,NigerianUsed,1667600
Toyota,Camry,143674,1998,NigerianUsed,469200
Land,Rover,139707,2008,NigerianUsed,2586000
Toyota,Corolla,103114,2016,ForeignUsed,6000000
Lexus,Es,70445,2011,ForeignUsed,5500000
Mercedes-Benz,Ml350,79200,2013,ForeignUsed,13000000
Lexus,Es,116446,2009,ForeignUsed,4500000
Toyota,Corolla,45491,2016,ForeignUsed,6000000
Toyota,Camry,179269,2007,ForeignUsed,3300000
Toyota,Camry,100350,2014,ForeignUsed,5500000
Lexus,Gx,64591,2013,ForeignUsed,13000000
Mercedes-Benz,Ml350,127488,2007,ForeignUsed,4500000
Toyota,Camry,133301,2009,ForeignUsed,3594000
Ford,Edge,118007,2015,ForeignUsed,7402000
Toyota,Sienna,153603,2008,NigerianUsed,2026000
Toyota,Corolla,101010,2009,NigerianUsed,1130000
Honda,Pilot,83154,2010,NigerianUsed,2026000
Lexus,Rx,137468,2007,NigerianUsed,1950000
Nissan,Pathfinder,135330,2008,NigerianUsed,1354000
Kia,Sportage,83319,2012,NigerianUsed,5610000
Mazda,Cx-7,199838,2007,NigerianUsed,2138000
Kia,Sportage,122649,2010,ForeignUsed,3146000
Hyundai,Sonata,170590,2015,NigerianUsed,5610000
Toyota,Corolla,119898,2006,NigerianUsed,1522000
Lexus,Rx,106037,2008,ForeignUsed,5610000
Hyundai,Ix35,126271,2012,NigerianUsed,3370000
Volkswagen,Golf,254743,1993,ForeignUsed,514000
Toyota,Corolla,67153,2014,ForeignUsed,5498000
Honda,Pilot,131923,2009,NigerianUsed,3258000
Nissan,Qashqai,71117,2016,NigerianUsed,5610000
Toyota,Corolla,75147,2005,NigerianUsed,2026000
Toyota,Avensis,263206,2002,NigerianUsed,1130000
Toyota,Corolla,212483,2008,NigerianUsed,962000
Infiniti,Fx,158943,2005,NigerianUsed,1914000
Toyota,Matrix,172535,2005,NigerianUsed,1690000
Nissan,Altima,178709,2008,ForeignUsed,2250000
Toyota,Sienna,344640,2003,NigerianUsed,1242000
Toyota,Sienna,190712,2008,NigerianUsed,1582000
Mercedes-Benz,E550,72062,2014,ForeignUsed,12890000
Toyota,HiAce,638570,2010,NigerianUsed,1802000
Toyota,Corolla,299999,2004,NigerianUsed,1242000
Toyota,Camry,153736,2005,NigerianUsed,2250000
Ford,Edge,149859,2008,NigerianUsed,1746000
Honda,Accord,135651,2005,NigerianUsed,1130000
Toyota,Camry,130361,2012,NigerianUsed,3594000
Toyota,Sienna,167201,2009,NigerianUsed,2810000
Mercedes-Benz,Ml500,46700,2003,NigerianUsed,1802000
Toyota,Tundra,16989,2014,NigerianUsed,11770000
Toyota,Corolla,170245,2010,NigerianUsed,2810000
Lexus,Rx,80544,2005,NigerianUsed,2642000
Nissan,Maxima,116847,2005,ForeignUsed,1242000
Toyota,Sienna,166508,2005,NigerianUsed,1690000
Pontiac,Vibe,196872,2005,NigerianUsed,1914000
Buick,LACROSSE,55388,2016,NigerianUsed,4770000
Honda,Cr-V,249424,2007,NigerianUsed,1802000
Peugeot,406,156448,2008,NigerianUsed,458000
Toyota,Sequoia,219423,2007,NigerianUsed,2586000
Toyota,Camry,168968,2005,NigerianUsed,1578000
Honda,Accord,93244,2005,NigerianUsed,995600
Toyota,Camry,170293,2002,NigerianUsed,1746000
Lexus,Is,144988,2008,ForeignUsed,4490000
Toyota,4Runner,166673,2007,NigerianUsed,2362000
Peugeot,206,138903,2002,ForeignUsed,1186000
Lexus,Is,261421,2007,ForeignUsed,3930000
Lexus,Rx,147525,2010,ForeignUsed,8410000
Nissan,Pathfinder,100984,2009,NigerianUsed,1466000
Toyota,Corolla,192729,2008,NigerianUsed,2026000
Toyota,Camry,87149,2004,NigerianUsed,1578000
Pontiac,Vibe,140080,2009,ForeignUsed,3146000
Toyota,Camry,168348,2012,ForeignUsed,5162000
Hyundai,Santa,162915,2011,NigerianUsed,1690000
BMW,5,226694,2004,NigerianUsed,1466000
Toyota,Corolla,55953,2006,NigerianUsed,1466000
Lexus,Rx,153661,2002,NigerianUsed,1264400
Mercedes-Benz,Vito,174368,2001,ForeignUsed,2698000
Mercedes-Benz,C240,199950,2004,NigerianUsed,850000
Volkswagen,Golf,191716,2000,NigerianUsed,1074000
Ford,Taurus,106666,2013,NigerianUsed,2026000
Toyota,Highlander,142465,2007,NigerianUsed,3370000
Honda,Pilot,1593,2009,ForeignUsed,5274000
Toyota,Corolla,141570,2004,New,2586000
Kia,Sorento,159770,2012,NigerianUsed,2026000
Audi,Tt,217411,2007,NigerianUsed,1690000
Nissan,Quest,1744,2004,NigerianUsed,794000
Land,Rover,88013,2008,NigerianUsed,2810000
Honda,Accord,211365,2003,NigerianUsed,626000
Toyota,Highlander,41392,2011,NigerianUsed,6170000
Honda,Cr-V,188912,2005,NigerianUsed,906000
Honda,City,127332,2007,NigerianUsed,906000
Toyota,Corolla,333322,2006,NigerianUsed,1354000
Kia,Sportage,175973,2005,NigerianUsed,1354000
Nissan,Xterra,159448,2002,NigerianUsed,794000
Toyota,Highlander,38160,2016,NigerianUsed,11210000
Infiniti,M,632185,2006,ForeignUsed,2810000
Acura,Mdx,104593,2003,NigerianUsed,1466000
Toyota,Highlander,176904,2008,NigerianUsed,3100000
Lexus,Rx,99312,2000,NigerianUsed,1074000
Nissan,Xterra,177341,2005,NigerianUsed,1280000
BMW,7,177341,2006,ForeignUsed,2300000
Lexus,LS460,251036,2007,ForeignUsed,5900000
Lexus,Es,287116,1997,NigerianUsed,1000000
Volkswagen,Golf,223083,2007,ForeignUsed,1950000
Lexus,Es,166660,2002,NigerianUsed,1802000
Toyota,Solara,175475,2006,NigerianUsed,1410000
Toyota,Corolla,155697,2008,NigerianUsed,1690000
Acura,Tl,156376,2003,NigerianUsed,435600
Lexus,Gx,162952,2003,NigerianUsed,3370000
Mazda,5,111569,2009,NigerianUsed,1130000
Toyota,Camry,126949,2007,NigerianUsed,2194000
mercedes,benz,238641,2006,NigerianUsed,1746000
Mazda,Mpv,123906,2000,NigerianUsed,570000
Mercedes-Benz,E240,40965,2002,NigerianUsed,1130000
Hyundai,Ix35,81995,2015,NigerianUsed,4490000
Toyota,CAMRY,276632,2014,ForeignUsed,3930000
Toyota,Corolla,299999,2003,NigerianUsed,1746000
Honda,Accord,205098,2003,NigerianUsed,962000
Toyota,Sienna,187243,2000,NigerianUsed,581200
Lexus,Es,167583,2005,ForeignUsed,3818000
Mercedes-Benz,C300,151297,2009,ForeignUsed,4490000
Mercedes-Benz,Ml350,148889,2006,NigerianUsed,3706000
BMW,X5,95072,2008,NigerianUsed,1802000
Toyota,Corolla,280016,2005,NigerianUsed,1746000
Ford,Explorer,127555,2002,NigerianUsed,682000
Lexus,Rx,66677,2008,NigerianUsed,4490000
Toyota,Corolla,210989,2010,ForeignUsed,2530000
Jeep,Compass,190057,2007,NigerianUsed,3930000
Peugeot,407,55479,2002,NigerianUsed,850000
Toyota,Sienna,103239,2011,NigerianUsed,3370000
Toyota,Land,164042,2009,NigerianUsed,4490000
Lexus,Rx,61086,1999,NigerianUsed,1018000
MG,350s,100310,2014,NigerianUsed,1354000
Toyota,Corolla,220086,2003,NigerianUsed,1354000
Toyota,Avalon,326104,2001,ForeignUsed,906000
Honda,Accord,125886,2002,NigerianUsed,659600
Nissan,Sentra,103570,2004,NigerianUsed,850000
Toyota,Highlander,24981,2017,ForeignUsed,13450000
Toyota,Camry,145263,2002,NigerianUsed,1466000
Toyota,Avalon,174858,2006,NigerianUsed,1690000
Mercedes-Benz,CLA250,47439,2015,NigerianUsed,8970000
Hyundai,Ix35,88643,2012,NigerianUsed,2810000
Toyota,Highlander,263062,2001,NigerianUsed,1690000
Honda,Accord,125045,2003,NigerianUsed,794000
Toyota,Corolla,186684,2006,ForeignUsed,3370000
Honda,Odyssey,270825,2004,ForeignUsed,1802000
Toyota,Corolla,95249,2009,ForeignUsed,3553750
Toyota,Camry,431876,1999,NigerianUsed,570000
Toyota,Camry,24089,2006,NigerianUsed,1634000
Toyota,Hilux,83108,2016,ForeignUsed,16810000
Mitsubishi,SpaceStar,316352,2000,NigerianUsed,682000
Nissan,Titan,103943,2006,NigerianUsed,2026000
Lexus,Es,162749,2007,NigerianUsed,2586000
Toyota,HiAce,78217,2014,NigerianUsed,8074000
Toyota,Camry,183779,2008,NigerianUsed,2362000
Honda,Accord,89725,2008,NigerianUsed,1970000
Lexus,Gx,67950,2011,NigerianUsed,12330000
Peugeot,408,144700,2011,NigerianUsed,1354000
Toyota,Tundra,170779,2004,ForeignUsed,2250000
Hyundai,Azera,75543,2008,ForeignUsed,2922000
Honda,Accord,106321,2010,NigerianUsed,2698000
Toyota,Highlander,24704,2014,ForeignUsed,8746000
Toyota,Corolla,122552,2012,ForeignUsed,3706000
Peugeot,508,168229,2017,ForeignUsed,11770000
Toyota,Camry,281778,2002,NigerianUsed,1578000
Toyota,Camry,198346,2003,NigerianUsed,1466000
Honda,Accord,66996,2013,NigerianUsed,5050000
Honda,Accord,79963,2012,ForeignUsed,3146000
Toyota,Corolla,247820,2008,NigerianUsed,2586000
Toyota,Corolla,105850,2003,NigerianUsed,1690000
Toyota,Avalon,260505,2007,NigerianUsed,1802000
Toyota,Sienna,149612,2006,NigerianUsed,1858000
Nissan,Almera,112539,2015,NigerianUsed,1466000
Audi,Q7,43435,2012,NigerianUsed,8970000
Toyota,Camry,174915,2007,NigerianUsed,2138000
Acura,Mdx,240796,2003,NigerianUsed,906000
Peugeot,206,182846,2005,NigerianUsed,962000
Honda,Civic,127086,2009,NigerianUsed,1466000
Honda,Cr-V,119383,2003,NigerianUsed,962000
Acura,Mdx,99084,2008,NigerianUsed,2474000
Toyota,Corolla,109411,2008,NigerianUsed,2642000
Lexus,Gx,79724,2003,NigerianUsed,2810000
Toyota,Corolla,205408,2003,NigerianUsed,1578000
Honda,City,179131,2011,NigerianUsed,1242000
Toyota,Corolla,32331,2004,NigerianUsed,1690000
Toyota,Camry,111605,2007,NigerianUsed,1858000
Toyota,4Runner,80169,2003,NigerianUsed,2026000
Toyota,Camry,173271,2009,NigerianUsed,1746000
Honda,Accord,112760,2004,NigerianUsed,906000
Toyota,Avalon,168105,2001,NigerianUsed,794000
Mercedes-Benz,Ml350,196124,2007,NigerianUsed,2418000
Volkswagen,Passat,351663,1997,NigerianUsed,682000
Honda,Accord,215735,2008,NigerianUsed,1802000
Hyundai,Elantra,124362,2008,NigerianUsed,2026000
Honda,Accord,131579,2007,NigerianUsed,962000
Toyota,Sequoia,97193,2004,NigerianUsed,1802000
Toyota,Corolla,66215,2011,NigerianUsed,4490000
Honda,Odyssey,254790,2004,ForeignUsed,2026000
Honda,Accord,175223,2008,NigerianUsed,1416250
Honda,Cr-V,186593,2009,ForeignUsed,2810000
Peugeot,406,299999,1999,NigerianUsed,402000
Chevrolet,Optra,80519,2007,NigerianUsed,659600
Toyota,Camry,114424,2011,ForeignUsed,3146000
Toyota,Camry,141161,1995,NigerianUsed,514000
Toyota,Camry,81411,2010,NigerianUsed,2250000
Kia,Sportage,82123,2007,NigerianUsed,1466000
Toyota,Corolla,143948,2003,NigerianUsed,1690000
Toyota,Matrix,207163,2003,NigerianUsed,1634000
Toyota,Corolla,213560,2007,NigerianUsed,1914000
Toyota,Camry,141083,2003,NigerianUsed,1354000
Toyota,Avensis,242850,2011,NigerianUsed,1354000
Volkswagen,Passat,164611,2014,NigerianUsed,3370000
Lexus,Is,133201,2008,ForeignUsed,3370000
Ford,Edge,199494,2013,ForeignUsed,5610000
Lincoln,Navigator,80777,2008,NigerianUsed,2260000
Ford,Edge,138432,2012,ForeignUsed,4378000
Mitsubishi,L200,115006,2010,NigerianUsed,2138000
Mercedes,benz,7635,2008,ForeignUsed,3370000
Ford,Edge,156492,2013,NigerianUsed,2586000
Lexus,Rx,240934,2006,ForeignUsed,3930000
BMW,3,155654,2004,NigerianUsed,906000
Land,Rover,257174,2007,NigerianUsed,2250000
Volkswagen,Passat,76712,2012,NigerianUsed,1690000
Toyota,Camry,43158,2012,NigerianUsed,4378000
Nissan,Pathfinder,3809,2003,NigerianUsed,794000
Lexus,Rx,135087,2007,NigerianUsed,3146000
Toyota,Corolla,39228,2020,ForeignUsed,13510000
Toyota,Corolla,108269,2006,NigerianUsed,906000
Nissan,Versa,140062,2008,ForeignUsed,1802000
Toyota,Sienna,136000,2000,NigerianUsed,1018000
Peugeot,406,407165,1999,NigerianUsed,458000
Kia,Sportage,168216,2011,NigerianUsed,2474000
Nissan,X-Trail,112621,2007,NigerianUsed,906000
Honda,Odyssey,253617,2002,NigerianUsed,738000
Infiniti,M,115506,2006,NigerianUsed,3370000
Toyota,Corolla,97548,2010,ForeignUsed,3818000
Ford,F-150,122436,2010,ForeignUsed,3370000
Mercedes-Benz,C230,210023,2005,NigerianUsed,1690000
Toyota,Camry,324448,2002,NigerianUsed,1578000
Ford,Freestyle,109712,2005,NigerianUsed,1354000
Peugeot,307,163093,2004,NigerianUsed,1242000
Mazda,6,387664,2004,NigerianUsed,906000
BMW,3,252558,2004,NigerianUsed,682000
Toyota,Sienna,235518,2006,New,3370000
Lexus,Is250,191418,2006,NigerianUsed,3146000
Toyota,Corolla,106434,2006,NigerianUsed,1914000
Nissan,Armada,93419,2004,NigerianUsed,1130000
Toyota,4Runner,149679,2004,NigerianUsed,1802000
Hyundai,Accent,94835,2015,ForeignUsed,3146000
BMW,3,222632,2004,NigerianUsed,1914000
Toyota,4Runner,74116,2010,NigerianUsed,7290000
Honda,Civic,12152,2001,NigerianUsed,570000
Kia,Optima,165472,2007,NigerianUsed,1074000
Honda,Odyssey,264200,2012,ForeignUsed,4378000
Toyota,Venza,56830,2015,NigerianUsed,8186000
Toyota,Corolla,182248,2003,ForeignUsed,2138000
Land,Rover,134310,2008,NigerianUsed,2810000
Toyota,Sienna,103947,2004,ForeignUsed,2810000
Toyota,Corolla,155975,2009,NigerianUsed,1802000
Ford,Escape,137821,2014,NigerianUsed,7850000
Lexus,Gx,58987,2004,NigerianUsed,2698000
Mercedes-Benz,E,223404,1995,NigerianUsed,682000
Toyota,Corolla,214728,2004,NigerianUsed,1914000
Toyota,Camry,85573,2002,NigerianUsed,1522000
Acura,Mdx,205169,2005,NigerianUsed,1354000
Mercedes-Benz,GL450,154136,2007,NigerianUsed,2485000
Nissan,Maxima,166436,2003,NigerianUsed,491600
Nissan,Xterra,221364,2003,NigerianUsed,1242000
Hyundai,Elantra,116172,2013,NigerianUsed,2810000
Mazda,Mazda5,99485,2008,ForeignUsed,2642000
Mercedes,benz,86936,2006,NigerianUsed,2250000
Toyota,Corolla,181725,1998,NigerianUsed,570000
Toyota,Corolla,108390,2014,ForeignUsed,5610000
Ford,Escape,13638,2011,ForeignUsed,3146000
Jeep,Grand,157654,2006,NigerianUsed,1802000
Nissan,Pathfinder,265452,2005,NigerianUsed,1354000
Land,Rover,87834,2006,NigerianUsed,1690000
Toyota,Corolla,205117,2005,NigerianUsed,1522000
Toyota,Highlander,109048,2008,NigerianUsed,3818000
Lexus,Gs,126224,2006,NigerianUsed,2362000
Dodge,Ram,130245,1997,ForeignUsed,2922000
Toyota,Corolla,100370,2015,NigerianUsed,3594000
Toyota,Rav4,71437,2005,NigerianUsed,1354000
Volkswagen,Jetta,144399,2008,ForeignUsed,2586000
Honda,Civic,137268,2007,NigerianUsed,738000
Ford,Focus,137259,2012,ForeignUsed,3706000
Mercedes-Benz,E350,120642,2010,NigerianUsed,8410000
Land,Rover,70128,2013,ForeignUsed,6730000
Ford,Explorer,69619,2008,NigerianUsed,1466000
Mercedes-Benz,E350,146934,2011,ForeignUsed,6954000
Jeep,Liberty,153725,2003,NigerianUsed,1466000
Nissan,Pathfinder,198360,1997,NigerianUsed,794000
Peugeot,508,98654,2014,NigerianUsed,11210000
Toyota,Avensis,174345,2006,NigerianUsed,850000
Peugeot,307,521770,2002,NigerianUsed,1074000
Lexus,Is,110931,2011,NigerianUsed,3258000
Hyundai,Entourage,163535,2007,NigerianUsed,1914000
Toyota,Corolla,149622,2004,NigerianUsed,1466000
Toyota,Sienna,155712,2006,NigerianUsed,2586000
Mercedes-Benz,GL450,111574,2007,NigerianUsed,4042000
Hyundai,Sonata,134937,2011,NigerianUsed,2698000
Honda,City,209565,2007,NigerianUsed,704400
Lexus,Is,227817,2006,NigerianUsed,2810000
Honda,Civic,132310,2006,NigerianUsed,1354000
Toyota,Corolla,148378,2006,NigerianUsed,1690000
Volkswagen,Tiguan,80995,2012,NigerianUsed,3370000
Honda,Accord,150537,2005,NigerianUsed,850000
BMW,X3,202522,2007,ForeignUsed,3258000
Mitsubishi,L200,148147,2014,NigerianUsed,4266000
Mercedes-Benz,GLK,69215,2013,NigerianUsed,8970000
Hyundai,Accent,48,2020,New,9530000
Infiniti,G,191393,2007,NigerianUsed,1914000
Mitsubishi,Pajero,219990,2002,ForeignUsed,3258000
Hyundai,Accent,50,2020,New,9530000
Peugeot,307,7766,2008,ForeignUsed,1074000
Toyota,Camry,255763,2005,NigerianUsed,1354000
Toyota,Matrix,131872,2006,ForeignUsed,2698000
Kia,Sportage,99688,2012,ForeignUsed,5050000
Toyota,Sienna,182372,2005,ForeignUsed,3272500
Toyota,Camry,157350,2002,NigerianUsed,1354000
Nissan,Patrol,84,2019,New,50970000
Nissan,Quest,240000,2006,NigerianUsed,962000
Toyota,Sienna,205068,2006,ForeignUsed,3090000
Toyota,Corolla,257014,2003,NigerianUsed,1690000
BMW,3,132093,2006,ForeignUsed,1746000
Nissan,Patrol,72,2019,New,50970000
Land,Rover,81587,2010,NigerianUsed,6730000
Nissan,Patrol,82,2019,New,48170000
Honda,Cr-V,193883,2003,NigerianUsed,1018000
Nissan,Primera,87388,2002,NigerianUsed,906000
Jeep,Wrangler,230627,2009,NigerianUsed,3930000
Volkswagen,Sharan,227918,1997,NigerianUsed,1690000
Toyota,Rav4,25419,2018,ForeignUsed,13450000
Honda,Cr-V,362630,1997,NigerianUsed,682000
Toyota,Camry,63672,2013,NigerianUsed,4042000
Peugeot,206,18750,2004,NigerianUsed,1074000
Honda,Cr-V,173785,2005,NigerianUsed,1354000
Toyota,Camry,22637,2012,ForeignUsed,4826000
Toyota,Camry,107304,2007,NigerianUsed,2194000
Toyota,Sienna,124640,2005,ForeignUsed,2866000
Toyota,Camry,238343,2012,ForeignUsed,4490000
Acura,Mdx,244217,2003,NigerianUsed,1074000
Toyota,Sequoia,101687,2002,NigerianUsed,1466000
Mercedes-Benz,GL450,102928,2007,NigerianUsed,3200000
Audi,Q7,94882,2008,NigerianUsed,2810000
Toyota,Camry,110472,2003,NigerianUsed,1354000
Toyota,Highlander,142652,2008,NigerianUsed,4154000
Hyundai,Accent,1,2012,NigerianUsed,1130000
Honda,Civic,312167,1997,NigerianUsed,682000
Nissan,Altima,214563,2003,NigerianUsed,682000
Acura,Mdx,216855,2006,NigerianUsed,1690000
Toyota,Tundra,91506,2010,NigerianUsed,5050000
Ford,Edge,15609,2018,ForeignUsed,13450000
Honda,Accord,138965,2008,NigerianUsed,1130000
Ford,Transit,179106,1990,ForeignUsed,3202000
Toyota,Camry,193905,2016,ForeignUsed,7850000
Honda,Odyssey,135439,2003,NigerianUsed,1018000
Toyota,Corolla,197143,2003,NigerianUsed,1746000
Honda,Accord,1939266,1998,NigerianUsed,570000
Toyota,4Runner,112504,2003,NigerianUsed,1690000
MG,350s,39233,0,NigerianUsed,1690000
Honda,Odyssey,318996,2005,NigerianUsed,2586000
Nissan,Pathfinder,191852,2006,NigerianUsed,1186000
Lexus,Gx,133051,2006,NigerianUsed,3370000
Toyota,Venza,187232,2013,ForeignUsed,8410000
Dodge,Avenger,264678,2008,NigerianUsed,1354000
Kia,Rio,109608,2011,NigerianUsed,906000
Honda,Accord,234354,1998,NigerianUsed,458000
Hyundai,Accent,110859,2011,NigerianUsed,1466000
Toyota,Camry,119003,2010,NigerianUsed,2362000
Honda,Accord,137825,2009,NigerianUsed,1578000
Ford,Focus,330644,1999,NigerianUsed,648400
Toyota,Sienna,162832,2006,ForeignUsed,3258000
Toyota,Highlander,30031,2008,NigerianUsed,3370000
Mitsubishi,L200,271041,2008,NigerianUsed,1130000
Lexus,Rx,57737,2006,ForeignUsed,5162000
Lexus,Rx,98619,2010,NigerianUsed,6170000
Nissan,Pathfinder,111111,2002,NigerianUsed,850000
Toyota,Camry,143218,2007,NigerianUsed,2922000
Toyota,Rav4,79448,2008,ForeignUsed,3930000
Mercedes-Benz,C230,207907,2006,NigerianUsed,1130000
Kia,Rio,6817,2020,NigerianUsed,4622500
Toyota,HIGHLANDER,75754,2003,NigerianUsed,1578000
Peugeot,206,178184,2004,NigerianUsed,1018000
Honda,Pilot,170184,2005,NigerianUsed,1354000
Toyota,Matrix,23992,2003,NigerianUsed,1522000
Toyota,Camry,220507,2002,NigerianUsed,1354000
Ford,Edge,194690,2007,NigerianUsed,1500000
Toyota,Camry,449500,1999,NigerianUsed,794000
Toyota,Sienna,177027,2000,NigerianUsed,794000
Honda,Cr-V,348665,2005,NigerianUsed,1130000
Honda,Ridgeline,44392,2007,NigerianUsed,3034000
Mercedes-Benz,C,190334,2005,ForeignUsed,2922000
Ford,Focus,287051,2001,ForeignUsed,827600
Toyota,Sienna,265761,2006,NigerianUsed,2026000
Lexus,Rx,494955,1999,NigerianUsed,1410000
GMC,SAVANA,216225,2009,NigerianUsed,1914000
Lexus,Is,54553,2008,NigerianUsed,3930000
Toyota,Camry,152717,2010,NigerianUsed,2586000
Lexus,Es,326183,2002,NigerianUsed,1802000
Hyundai,Accent,74563,2014,NigerianUsed,1690000
Acura,Mdx,250336,2002,NigerianUsed,1018000
Dacia,406,259095,2004,NigerianUsed,962000
Mitsubishi,L200,51654,2013,NigerianUsed,3930000
Mazda,Cx-7,150003,2010,ForeignUsed,3706000
Mitsubishi,L200,56377,2009,NigerianUsed,2810000
Lexus,Rx,123753,2000,NigerianUsed,1242000
Toyota,Corolla,78900,2008,NigerianUsed,2138000
Chevrolet,Aveo,186107,2009,NigerianUsed,570000
Honda,Civic,201053,2006,ForeignUsed,1578000
Lexus,Rx,205885,2000,NigerianUsed,1354000
Jeep,Wrangler,29605,2016,NigerianUsed,8410000
Volkswagen,Jetta,138640,2010,ForeignUsed,1914000
Hyundai,Creta,32917,2017,NigerianUsed,5610000
Toyota,Highlander,119630,2011,NigerianUsed,5050000
Toyota,Corolla,232376,2003,NigerianUsed,1802000
Toyota,Land,103708,2008,NigerianUsed,3594000
Ford,Edge,34879,2014,NigerianUsed,3258000
Toyota,HiAce,60687,2012,NigerianUsed,6730000
Lexus,Rx,106952,2011,NigerianUsed,6954000
Acura,Mdx,254705,2006,ForeignUsed,2474000
Toyota,Avalon,27269,2015,NigerianUsed,8970000
Volkswagen,Touran,222354,2004,ForeignUsed,2026000
Lexus,Rx,196270,2001,NigerianUsed,1354000
Lexus,Is,114239,2011,ForeignUsed,3818000
Chrysler,Town,190520,2007,ForeignUsed,1354000
Toyota,Corolla,297969,2005,NigerianUsed,1813200
Hyundai,Sonata,291561,2013,ForeignUsed,4490000
Peugeot,406,219022,2001,NigerianUsed,738000
Mazda,Cx-9,161430,2008,ForeignUsed,3930000
Hyundai,Santa,127046,2011,NigerianUsed,1802000
honda,Accord,265190,1998,NigerianUsed,626000
Mercedes-Benz,Ml350,143894,2008,NigerianUsed,3930000
Toyota,Matrix,278853,2003,NigerianUsed,1466000
Lexus,Es,60730,2008,ForeignUsed,3706000
BMW,7,57765,2009,NigerianUsed,3594000
Mercedes-Benz,Ml350,87254,2008,NigerianUsed,3482000
Mercedes,benz,233311,2001,ForeignUsed,1914000
Lexus,Es,95348,2007,NigerianUsed,3762000
