make,mileage(Km),year,condition,price(₦)
 Toyota Camry,107222,2004, Foreign Used  ," 2,250,000                                        
                                    "
 Toyota Yaris,137400,2007, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Camry,20873,2017, Nigerian Used  ," 7,290,000                                        
                                    "
 Toyota Corolla,221421,2007, Nigerian Used  ," 1,746,000                                        
                                    "
 Toyota Camry,328916,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Honda Accord,232654,2005, Nigerian Used  ," 1,130,000                                        
                                    "
 Nissan Primera,202124,2002, Foreign Used  ," 1,130,000                                        
                                    "
 Mercedes-Benz Ml350,112478,2006, Foreign Used  ," 3,034,000                                        
                                    "
 Toyota Corolla,174579,2009, Foreign Used  ," 4,042,000                                        
                                    "
 Volvo Xc90,134799,2005, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Solara,75541,2006, Nigerian Used  ," 1,242,000                                        
                                    "
 Mercedes-Benz R350,212438,2007, Foreign Used  ," 3,370,000                                        
                                    "
 Toyota Matrix,99999,2006, Nigerian Used  ," 1,466,000                                        
                                    "
 Lexus Is 350,181452,2007, Foreign Used  ," 2,922,000                                        
                                    "
 Toyota Matrix,207493,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Ford Explorer,152486,2014, Nigerian Used  ," 7,850,000                                        
                                    "
 Toyota Corolla,178385,2006, Nigerian Used  ," 1,242,000                                        
                                    "
 Hyundai Santa Fe,107366,2008, Nigerian Used  ," 2,586,000                                        
                                    "
 Kia Rio,121375,2014, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Highlander,92157,2004, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Land Cruiser Prado,174725,2007, Nigerian Used  ," 3,482,000                                        
                                    "
 Hyundai Sonata,10431,2019, Nigerian Used  ," 8,074,000                                        
                                    "
 Honda Accord,133998,2006, Nigerian Used  ," 1,242,000                                        
                                    "
 Toyota Camry,273486,2001, Nigerian Used  ," 850,000                                        
                                    "
 Toyota Camry,57143,2012, Foreign Used  ," 4,714,000                                        
                                    "
Nissan Xterra ,259202,2001, Nigerian Used  ," 520,000                                        
                                    "
 Ford Edge,184709,2010, Foreign Used  ," 4,042,000                                        
                                    "
 Honda Accord,116557,2009, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Sienna,168731,2006, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Camry,17571,2018, Nigerian Used  ," 10,426,000                                        
                                    "
 Toyota Sienna,102749,2007, Nigerian Used  ," 3,146,000                                        
                                    "
 Kia K,88226,2014, Nigerian Used  ," 4,042,000                                        
                                    "
