make,mileage(Km),year,condition,price(₦)
 Toyota Camry,130458,2003, Nigerian Used  ," 1,303,750                                        
                                    "
Mercedes-Benz E300,30791,2012, Nigerian Used  ," 4,490,000                                        
                                    "
 Mercedes-Benz C300,8688,2008, Nigerian Used  ," 3,160,000                                        
                                    "
 Chevrolet Equinox,134567,2008, Nigerian Used  ," 2,138,000                                        
                                    "
 Toyota Matrix,176470,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Camry,292723,2005, Foreign Used  ," 2,530,000                                        
                                    "
Hyundai Elantra ,82527,2013, Nigerian Used  ," 1,697,500                                        
                                    "
 Toyota Avalon,230976,2000, Nigerian Used  ," 1,130,000                                        
                                    "
 Lexus Es 300,88321,2002, Nigerian Used  ," 1,466,000                                        
                                    "
 Lexus Es 350,91849,2011, Nigerian Used  ," 4,042,000                                        
                                    "
 Honda Accord,91163,2010, Foreign Used  ," 3,370,000                                        
                                    "
 Toyota Avensis,157880,2006, Nigerian Used  ," 1,298,000                                        
                                    "
 Toyota Highlander,345395,2003, Nigerian Used  ," 1,891,600                                        
                                    "
 Toyota Camry,319133,2002, Nigerian Used  ," 1,051,600                                        
                                    "
 Acura Mdx,134559,2004, Nigerian Used  ," 1,522,000                                        
                                    "
 Mercedes-Benz C300,121000,2011, Nigerian Used  ," 3,426,000                                        
                                    "
 Peugeot 406,242096,2008, Nigerian Used  ," 458,000                                        
                                    "
Honda ACCORD ,43843,2015, Nigerian Used  ," 5,162,000                                        
                                    "
 Mercedes-Benz C280,83076,2006, Nigerian Used  ," 2,026,000                                        
                                    "
 Mercedes-Benz Ml350,115783,2008, Nigerian Used  ," 3,594,000                                        
                                    "
 Toyota Corolla,270782,1996, Nigerian Used  ," 570,000                                        
                                    "
 Mercedes-Benz Ml350,99488,2006, Nigerian Used  ," 3,930,000                                        
                                    "
 Toyota Avalon,130126,2008, Foreign Used  ," 3,482,000                                        
                                    "
 Toyota Highlander,116216,2008, Foreign Used  ," 5,162,000                                        
                                    "
 Toyota Camry,73502,2007, Foreign Used  ," 3,594,000                                        
                                    "
 Nissan Pathfinder,137502,2003, Nigerian Used  ," 917,200                                        
                                    "
 Mercedes-Benz GL450,88955,2007, Nigerian Used  ," 3,930,000                                        
                                    "
 Toyota Rav4,87728,2010, Foreign Used  ," 4,938,000                                        
                                    "
 Lexus Es,184122,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Nissan Titan,250138,2007, Foreign Used  ," 3,482,000                                        
                                    "
 Ford Explorer,1192871,2011, Nigerian Used  ," 3,930,000                                        
                                    "
 Toyota Camry,95531,2009, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Camry,77898,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Lexus Rx300,108942,2000, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Avalon,90675,2005, Foreign Used  ," 2,026,000                                        
                                    "
 Toyota Avensis,128116,2004, Nigerian Used  ," 906,000                                        
                                    "
 Honda Odyssey,235509,2007, Foreign Used  ," 2,026,000                                        
                                    "
 Toyota Sienna,218864,2009, Foreign Used  ," 2,754,000                                        
                                    "
 Mazda Cx-9,235602,2009, Foreign Used  ," 2,642,000                                        
                                    "
 Ford Focus,299021,2008, Foreign Used  ," 2,082,000                                        
                                    "
 Lexus Es 350,82674,2007, Nigerian Used  ," 2,138,000                                        
                                    "
 Toyota Avalon,96208,2009, Foreign Used  ," 2,978,000                                        
                                    "
 Toyota Fortuner,67230,2013, Nigerian Used  ," 5,610,000                                        
                                    "
 Toyota Land Cruiser Prado,80162,2010, Foreign Used  ," 20,170,000                                        
                                    "
 Honda Pilot,240655,2006, Nigerian Used  ," 995,600                                        
                                    "
 Toyota Sienna,142332,2007, Foreign Used  ," 3,370,000                                        
                                    "
 Honda Accord,202025,2005, Nigerian Used  ," 1,018,000                                        
                                    "
 Kia Sportage,161390,2009, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz E350,999999,2006, Foreign Used  ," 2,698,000                                        
                                    "
 Mercedes-Benz GL450,101105,2007, Foreign Used  ," 4,490,000                                        
                                    "
 Honda Accord Crosstour,208343,2010, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Camry,151155,2011, Nigerian Used  ," 2,003,600                                        
                                    "
Mitsubishi Pajero ,88200,2011, Nigerian Used  ," 3,385,000                                        
                                    "
 Toyota Solara,120770,2006, Nigerian Used  ," 1,500,000                                        
                                    "
 Toyota Rav4,146206,2007, Nigerian Used  ," 2,550,000                                        
                                    "
 Toyota Corolla,226660,2010, Foreign Used  ," 2,900,000                                        
                                    "
 Toyota Camry,159814,2002, Nigerian Used  ," 1,350,000                                        
                                    "
 Chevrolet Equinox,166207,2010, Foreign Used  ," 3,146,000                                        
                                    "
 Toyota Land Cruiser,36142,2009, Foreign Used  ," 23,100,000                                        
                                    "
 Lexus Gx 460,1,2011, Foreign Used  ," 14,000,000                                        
                                    "
 Honda Cr-V,48182,2018, Foreign Used  ," 16,250,000                                        
                                    "
 Honda Accord Crosstour,99361,2011, Foreign Used  ," 3,600,000                                        
                                    "
 Mercedes-Benz GLK 350,150655,2010, Foreign Used  ," 7,350,000                                        
                                    "
 Suzuki Every Wagon,224513,2002, Foreign Used  ," 1,500,000                                        
                                    "
 Toyota Camry,61814,2017, Foreign Used  ," 7,290,000                                        
                                    "
 Nissan Serena,197857,2006, Foreign Used  ," 2,250,000                                        
                                    "
 Toyota HiAce,81873,2014, Nigerian Used  ," 7,290,000                                        
                                    "
 BMW 5 Series,46704,1998, Nigerian Used  ," 570,000                                        
                                    "
 Peugeot 406,999999,1999, Foreign Used  ," 1,018,000                                        
                                    "
 Chrysler 200,49353,2012, Nigerian Used  ," 3,370,000                                        
                                    "
 Ford Explorer,136229,2006, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Highlander,88536,2010, Foreign Used  ," 7,850,000                                        
                                    "
 Ford Explorer,378774,2006, Nigerian Used  ," 1,354,000                                        
                                    "
 Lexus Es 300,131396,2002, Foreign Used  ," 2,978,000                                        
                                    "
 Toyota Rav4,125536,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Highlander,175167,2011, Foreign Used  ," 7,290,000                                        
                                    "
 Mercedes-Benz ML350,140027,2008, Foreign Used  ," 6,394,000                                        
                                    "
 Mercedes-Benz E320,76734,2003, Foreign Used  ," 1,922,500                                        
                                    "
 Lexus Rx 350,133673,2007, Nigerian Used  ," 3,930,000                                        
                                    "
 Honda Pilot,130396,2006, Nigerian Used  ," 850,000                                        
                                    "
 Mercedes-Benz C300,1234,2010, Foreign Used  ," 4,602,000                                        
                                    "
 Mercedes-Benz C230,250672,2005, Foreign Used  ," 2,810,000                                        
                                    "
 Lexus Rx 400h,96360,2008, Nigerian Used  ," 2,362,000                                        
                                    "
 Range rover Evoque,14139,2012, Nigerian Used  ," 7,850,000                                        
                                    "
 Mercedes-Benz Ml500,133855,2003, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Camry,280599,2008, Nigerian Used  ," 1,866,250                                        
                                    "
 Peugeot 406,279476,1999, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Camry,196125,2009, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Sienna,653456,2000, Nigerian Used  ," 906,000                                        
                                    "
 Lexus Rx 350,49665,2008, Nigerian Used  ," 4,266,000                                        
                                    "
 Ford Edge,134720,2008, Nigerian Used  ," 1,690,000                                        
                                    "
 Lexus Gx 470,284095,2005, Nigerian Used  ," 4,826,000                                        
                                    "
 Toyota Highlander,100997,2002, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Sienna,109362,2004, Nigerian Used  ," 1,354,000                                        
                                    "
Hyundai Elantra ,76224,2009, Nigerian Used  ," 2,026,000                                        
                                    "
 GMC Savana,316957,2005, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Corolla,139138,2010, Nigerian Used  ," 2,138,000                                        
                                    "
 Honda Accord,54491,2013, Nigerian Used  ," 3,146,000                                        
                                    "
 Honda Ridgeline,235510,2009, Nigerian Used  ," 3,930,000                                        
                                    "
 Kia Cadenza,52013,2014, Foreign Used  ," 5,610,000                                        
                                    "
 Volkswagen Passat,128565,2010, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Camry,135029,2003, Nigerian Used  ," 1,466,000                                        
                                    "
 Volkswagen Passat,200190,2005, Nigerian Used  ," 738,000                                        
                                    "
 Mercedes-Benz Ml350,193796,2006, Nigerian Used  ," 4,490,000                                        
                                    "
 Honda Accord,191420,2006, Nigerian Used  ," 906,000                                        
                                    "
 Honda Pilot,5158,2013, Nigerian Used  ," 7,850,000                                        
                                    "
 Honda Civic,347863,2007, Nigerian Used  ," 1,354,000                                        
                                    "
 Volkswagen CC,139517,2009, Foreign Used  ," 2,810,000                                        
                                    "
 Lexus Is 300,63086,2016, Foreign Used  ," 10,650,000                                        
                                    "
 Honda Odyssey,299021,2005, Nigerian Used  ," 1,130,000                                        
                                    "
 Mercedes-Benz GL450,76947,2008, Nigerian Used  ," 5,610,000                                        
                                    "
 Innoson IVM G80,2111,2018, Nigerian Used  ," 22,410,000                                        
                                    "
 Chrysler Pt Cruiser,169449,2003, Nigerian Used  ," 906,000                                        
                                    "
 Land Rover RANGE ROVER,43531,2006, Nigerian Used  ," 3,818,000                                        
                                    "
 Honda Accord,165843,2004, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Camry,170905,2012, Foreign Used  ," 4,714,000                                        
                                    "
 Nissan Pathfinder,138444,2005, Nigerian Used  ," 1,186,000                                        
                                    "
 Hyundai Sonata,152530,2011, Foreign Used  ," 3,930,000                                        
                                    "
 Toyota Matrix,155681,2006,   ," 2,586,000                                        
                                    "
 Honda Accord,16230,2008, Nigerian Used  ," 1,690,000                                        
                                    "
 Volvo Xc90,187435,2006, Nigerian Used  ," 2,250,000                                        
                                    "
 Mercedes benz C300,215613,2001, Foreign Used  ," 2,138,000                                        
                                    "
 Toyota Corolla,236295,2009, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Camry,97918,2012, Foreign Used  ," 4,266,000                                        
                                    "
 Toyota Corolla,999999,2002, Nigerian Used  ," 682,000                                        
                                    "
 Mercedes-Benz GL450,83333,2008, Nigerian Used  ," 4,714,000                                        
                                    "
 Volkswagen Jetta,101916,2008, Nigerian Used  ," 1,018,000                                        
                                    "
 Volkswagen Passat,83024,2012, Nigerian Used  ," 2,586,000                                        
                                    "
 Toyota Camry,202836,2002, Nigerian Used  ," 1,242,000                                        
                                    "
 Honda Accord,104955,2006, Nigerian Used  ," 1,018,000                                        
                                    "
 Lexus Rx 350,59616,2010, Foreign Used  ," 8,522,000                                        
                                    "
 Volkswagen Jetta,280251,2007, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Land Cruiser,235434,2006, Nigerian Used  ," 2,810,000                                        
                                    "
 Mercedes-Benz Ml350,203580,2006, Foreign Used  ," 4,714,000                                        
                                    "
 Toyota Camry,152289,2009, Foreign Used  ," 3,370,000                                        
                                    "
 Ford Focus,123096,2014, Nigerian Used  ," 2,026,000                                        
                                    "
 Mercedes-Benz GLK 350,74494,2010, Nigerian Used  ," 5,050,000                                        
                                    "
 Honda Civic,16747,2017, Foreign Used  ," 6,394,000                                        
                                    "
 Ford Escape,260765,2006, Nigerian Used  ," 1,578,000                                        
                                    "
 Nissan Sunny,140591,2010, Nigerian Used  ," 1,018,000                                        
                                    "
 Honda Cr-V,395331,2003, Nigerian Used  ," 1,354,000                                        
                                    "
 Mazda 626,117579,2001, Nigerian Used  ," 458,000                                        
                                    "
 Toyota Camry,123136,2006, Nigerian Used  ," 1,634,000                                        
                                    "
 Mercedes-Benz C300,118616,2015, Foreign Used  ," 11,210,000                                        
                                    "
 Mercedes-Benz GLK 350,156155,2010, Nigerian Used  ," 6,730,000                                        
                                    "
 Infiniti FX35,245225,2004, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Camry,217858,2003, Foreign Used  ," 2,922,000                                        
                                    "
 Toyota Camry,39938,2008, Nigerian Used  ," 1,970,000                                        
                                    "
 Toyota Highlander,167858,2008, Nigerian Used  ," 2,810,000                                        
                                    "
 Toyota Corolla,221014,2003, Foreign Used  ," 2,698,000                                        
                                    "
 Toyota Corolla,90318,2009, Nigerian Used  ," 1,466,000                                        
                                    "
Toyota Matrix ,102645,2007, Foreign Used  ," 2,474,000                                        
                                    "
 Toyota Rav4,171126,2002, Nigerian Used  ," 1,130,000                                        
                                    "
Toyota Camry ,202622,1995, Nigerian Used  ," 516,250                                        
                                    "
 Hyundai Sonata,92341,2015, Nigerian Used  ," 4,826,000                                        
                                    "
 Mitsubishi L200,89571,2009, Nigerian Used  ," 1,858,000                                        
                                    "
 Acura Mdx,201564,2002, Nigerian Used  ," 827,600                                        
                                    "
 Nissan Almera,285266,2001, Nigerian Used  ," 738,000                                        
                                    "
 Toyota Avensis,117797,2001, Foreign Used  ," 2,026,000                                        
                                    "
 Mercedes-Benz Ml350,167007,2006, Foreign Used  ," 4,322,000                                        
                                    "
 Lexus Es 300,112762,2003, Nigerian Used  ," 1,914,000                                        
                                    "
 Honda Pilot,139946,2006, Foreign Used  ," 3,034,000                                        
                                    "
 Acura Mdx,285708,2001, Nigerian Used  ," 794,000                                        
                                    "
 Toyota Corolla,120891,2007, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Camry,111634,2007, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus LS460,141364,2008, Foreign Used  ," 3,370,000                                        
                                    "
 Hyundai Santa Fe,206050,2010, Foreign Used  ," 3,482,000                                        
                                    "
 Volkswagen Jetta,236989,2004, Nigerian Used  ," 704,400                                        
                                    "
 Volkswagen Passat,38200,2007, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Camry,305588,2010, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Sequoia,140874,2001, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Corolla,263812,2004, Nigerian Used  ," 1,578,000                                        
                                    "
 Hyundai Tucson,30433,2019, Nigerian Used  ," 10,090,000                                        
                                    "
 Honda Pilot,39505,2009, Nigerian Used  ," 3,482,000                                        
                                    "
 Toyota Highlander,138400,2004, Foreign Used  ," 3,090,000                                        
                                    "
 Toyota Rav4,126843,2004, Nigerian Used  ," 1,242,000                                        
                                    "
Toyota Venza ,80745,2010, Foreign Used  ," 5,069,500                                        
                                    "
 Toyota Camry,124873,2004, Nigerian Used  ," 1,690,000                                        
                                    "
 Nissan Pathfinder,90409,2006, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Sienna,225733,1998, Nigerian Used  ," 1,466,000                                        
                                    "
 Hyundai Creta,40344,2019, Nigerian Used  ," 7,850,000                                        
                                    "
 Honda Accord,108973,2015, Nigerian Used  ," 6,170,000                                        
                                    "
 Toyota 4Runner,181780,2003, Nigerian Used  ," 1,354,000                                        
                                    "
Mitsubishi Galant ,196036,2004, Nigerian Used  ," 857,000                                        
                                    "
 Toyota Camry,123095,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Honda Civic,144268,2006, Nigerian Used  ," 1,186,000                                        
                                    "
 Nissan Serena,230976,2005, Nigerian Used  ," 1,018,000                                        
                                    "
Audi A4 ,179893,2011, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus Rx 300,218109,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Mercedes-Benz C300,1445,2013, Foreign Used  ," 8,970,000                                        
                                    "
 Toyota Rav4,92595,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Peugeot 307,209837,2004, Foreign Used  ," 2,026,000                                        
                                    "
 Hyundai Elantra,128724,2008, Nigerian Used  ," 1,242,000                                        
                                    "
 Volkswagen Touareg,99868,2012, Nigerian Used  ," 5,610,000                                        
                                    "
 Toyota Highlander,56780,2014, Nigerian Used  ," 10,090,000                                        
                                    "
 Honda Pilot,155936,2007, Foreign Used  ," 2,586,000                                        
                                    "
 Jaguar Xj,64202,2001, Nigerian Used  ," 3,675,000                                        
                                    "
 Ford F-150,188106,2004, Foreign Used  ," 3,570,000                                        
                                    "
 Mercedes-Benz G500,1,2003, Nigerian Used  ," 7,350,000                                        
                                    "
 Honda Accord,249616,2007, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Avalon,150803,2004, Foreign Used  ," 2,450,000                                        
                                    "
 Nissan Rogue,96747,2011, Foreign Used  ," 4,000,000                                        
                                    "
 Toyota Camry,98763,2012, Nigerian Used  ," 3,370,000                                        
                                    "
 Kia Rio,177755,2011, Nigerian Used  ," 626,000                                        
                                    "
 Infiniti Fx,167288,2003, Nigerian Used  ," 1,634,000                                        
                                    "
 Toyota Camry,122747,2018, Foreign Used  ," 10,090,000                                        
                                    "
 Honda Cr-V,77961,2013, Foreign Used  ," 4,490,000                                        
                                    "
 Toyota Highlander,109558,2008, Nigerian Used  ," 3,146,000                                        
                                    "
 Honda Accord,147337,2007, Nigerian Used  ," 1,466,000                                        
                                    "
Infiniti Qx ,268169,2002, Nigerian Used  ," 741,250                                        
                                    "
 Toyota Highlander,68689,2013, Foreign Used  ," 6,842,000                                        
                                    "
 Toyota HARRIER,237127,2000, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Corolla,80225,2010, Foreign Used  ," 2,474,000                                        
                                    "
 Ford Focus,30278,2015, Nigerian Used  ," 2,810,000                                        
                                    "
 Toyota Corolla,299999,2007, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Highlander,220615,2010, Foreign Used  ," 6,058,000                                        
                                    "
 Audi A4,168990,1997, Nigerian Used  ," 626,000                                        
                                    "
 Nissan Pathfinder,289927,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Lexus Gs 300,164663,2006, Foreign Used  ," 3,818,000                                        
                                    "
 Hyundai Tucson,175770,2008, Nigerian Used  ," 1,354,000                                        
                                    "
 Nissan Pathfinder,180525,2001, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Land Cruiser Prado,1,2003, Nigerian Used  ," 2,250,000                                        
                                    "
 Ford Explorer,142303,2004, Nigerian Used  ," 906,000                                        
                                    "
 Lexus Rx 350,103769,2010, Nigerian Used  ," 6,730,000                                        
                                    "
 Nissan Pathfinder,112303,2006, Nigerian Used  ," 1,130,000                                        
                                    "
 Kia Sportage,117500,2006, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Camry,194686,2006, Nigerian Used  ," 2,474,000                                        
                                    "
 Volkswagen Passat,207282,2006, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Rav4,9016,2006, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Camry,125765,2008, Foreign Used  ," 3,146,000                                        
                                    "
 Toyota Rav4,110948,2010, Nigerian Used  ," 2,978,000                                        
                                    "
 Honda Pilot,223565,2003, Nigerian Used  ," 906,000                                        
                                    "
 Acura Tl,164082,2009, Foreign Used  ," 5,050,000                                        
                                    "
 Lexus Is 250,100633,2006, Foreign Used  ," 3,258,000                                        
                                    "
 Mercedes-Benz S350,39055,2007, Nigerian Used  ," 4,490,000                                        
                                    "
 Lexus Rx300,286083,1999, Nigerian Used  ," 1,634,000                                        
                                    "
 Peugeot 406,250466,2000, Nigerian Used  ," 962,000                                        
                                    "
 Toyota Camry,126409,2009, Nigerian Used  ," 3,258,000                                        
                                    "
Toyota Rav4,94745,0000, Nigerian Used  ," 4,434,000                                        
                                    "
 Toyota Camry,165660,2014, Nigerian Used  ," 3,930,000                                        
                                    "
 Hyundai Sonata,288906,2006, Nigerian Used  ," 794,000                                        
                                    "
 Toyota Highlander,51593,2014, Nigerian Used  ," 8,410,000                                        
                                    "
Audi A6 ,170226,2007, Nigerian Used  ," 1,694,500                                        
                                    "
 Mazda Cx-9,229880,2007, Foreign Used  ," 3,146,000                                        
                                    "
Toyota Corolla ,230038,2003, Foreign Used  ," 2,485,000                                        
                                    "
 Honda Accord,200929,2003, Nigerian Used  ," 850,000                                        
                                    "
 Toyota Camry,36525,2018, Foreign Used  ," 10,650,000                                        
                                    "
 Honda Accord,192342,2006, Foreign Used  ," 1,298,000                                        
                                    "
 Toyota Avensis,247437,2003, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota VERSO,119283,2003, Foreign Used  ," 2,698,000                                        
                                    "
 Honda Accord,73356,2008, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Corolla,273557,2004, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus Rx 330,90636,2004, Nigerian Used  ," 2,250,000                                        
                                    "
 Peugeot 206,90568,2004, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Corolla,244434,2003, Nigerian Used  ," 1,522,000                                        
                                    "
 Toyota Venza,50683,2011, Nigerian Used  ," 6,730,000                                        
                                    "
 Ford Transit,213903,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Honda Odyssey,209154,2007, Foreign Used  ," 3,370,000                                        
                                    "
 Honda Pilot,201786,2003, Nigerian Used  ," 1,130,000                                        
                                    "
 Ford Focus,40555,2014, Nigerian Used  ," 1,712,400                                        
                                    "
 Toyota Matrix,182832,2005, Nigerian Used  ," 1,746,000                                        
                                    "
 Honda Cr-V,115409,2007, Nigerian Used  ," 1,690,000                                        
                                    "
Land Rover Discovery ,34236,2013, Nigerian Used  ," 11,260,000                                        
                                    "
 Honda Accord,1992402,1990, Nigerian Used  ," 402,000                                        
                                    "
 Toyota Sienna,222742,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Kia Sportage,35131,2017, Nigerian Used  ," 10,090,000                                        
                                    "
 Toyota Camry,159541,2012, Nigerian Used  ," 2,698,000                                        
                                    "
 Kia Sportage,83768,2009, Nigerian Used  ," 1,354,000                                        
                                    "
 Mercedes-Benz C230,219795,2007, Nigerian Used  ," 1,578,000                                        
                                    "
 BMW 3 Series,153519,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Mazda 3,181168,2003, Nigerian Used  ," 1,130,000                                        
                                    "
 Mazda Cx-7,114130,2011, Foreign Used  ," 3,100,000                                        
                                    "
 Ford Ranger,243345,2013, Nigerian Used  ," 2,250,000                                        
                                    "
 Mitsubishi Galant,147572,1999, Nigerian Used  ," 570,000                                        
                                    "
 Toyota Venza,78310,2012, Nigerian Used  ," 6,730,000                                        
                                    "
 TOYOTA Corolla,170943,2005, Nigerian Used  ," 2,474,000                                        
                                    "
 Toyota 4Runner,223887,2005, Foreign Used  ," 3,930,000                                        
                                    "
 Mitsubishi Outlander,196353,2003, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Highlander,103456,2013, Nigerian Used  ," 6,842,000                                        
                                    "
 Toyota 4Runner,351002,1999, Nigerian Used  ," 738,000                                        
                                    "
 Pontiac Vibe,185319,2009, Nigerian Used  ," 2,362,000                                        
                                    "
Ford Edge ,213096,2008, Foreign Used  ," 2,819,500                                        
                                    "
 Toyota Matrix,142819,2004, Nigerian Used  ," 1,690,000                                        
                                    "
 Hyundai Accent,167562,2007, Nigerian Used  ," 1,298,000                                        
                                    "
 Honda Accord,148146,2008, Nigerian Used  ," 1,914,000                                        
                                    "
 Lexus Es 330,7497,2005, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus Rx 300,132407,2000, Nigerian Used  ," 1,914,000                                        
                                    "
 Mercedes-Benz E320,356869,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Ford Explorer,125629,2008, Nigerian Used  ," 3,146,000                                        
                                    "
 Toyota Venza,103019,2009, Foreign Used  ," 6,618,000                                        
                                    "
 Mercedes-Benz E320,132573,2002, Foreign Used  ," 3,146,000                                        
                                    "
 Volkswagen Golf,262043,1993, Nigerian Used  ," 738,000                                        
                                    "
 Toyota Avalon,141814,2005, Nigerian Used  ," 1,578,000                                        
                                    "
Nissan Altima ,173685,2002, Nigerian Used  ," 853,750                                        
                                    "
 Honda Accord,231497,2005, Nigerian Used  ," 906,000                                        
                                    "
 Honda Pilot,201542,2003, Nigerian Used  ," 1,130,000                                        
                                    "
 Honda Cr-V,161749,1997, Nigerian Used  ," 514,000                                        
                                    "
 Toyota Avensis,999999,2002, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Echo,156477,2000, Nigerian Used  ," 760,400                                        
                                    "
 Toyota Highlander,251583,2005, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Camry,47828,2008, Nigerian Used  ," 2,586,000                                        
                                    "
 Toyota Camry,138447,2011, Foreign Used  ," 4,154,000                                        
                                    "
 Honda Odyssey,40206,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Lexus Es 330,161528,2005, Nigerian Used  ," 2,362,000                                        
                                    "
 Volkswagen Amarok,57115,2014, Nigerian Used  ," 5,050,000                                        
                                    "
Lexus Gx460 ,94040,2015, Foreign Used  ," 22,410,000                                        
                                    "
 Toyota 4Runner,105904,2014, Foreign Used  ," 16,275,000                                        
                                    "
Lexus Rx 350 ,10221,2019, Foreign Used  ," 23,100,000                                        
                                    "
 Toyota 4Runner,44916,2017, Foreign Used  ," 19,950,000                                        
                                    "
 Toyota Highlander,259776,2006, Foreign Used  ," 3,500,000                                        
                                    "
 Ssangyong actyon,32850,2007, Foreign Used  ," 1,837,500                                        
                                    "
 Kia Soul,14580,2015, Foreign Used  ," 5,775,000                                        
                                    "
 Toyota Highlander,5320,2017, Foreign Used  ," 19,425,000                                        
                                    "
 Lexus Es 350,184827,2009, Foreign Used  ," 4,000,000                                        
                                    "
 Toyota Sienna,90280,2013, Foreign Used  ," 5,050,000                                        
                                    "
 Nissan Pathfinder,198621,2001, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Camry,216661,2005, Nigerian Used  ," 1,667,600                                        
                                    "
 Toyota Camry,143674,1998, Nigerian Used  ," 469,200                                        
                                    "
 Land Rover Lr2,139707,2008, Nigerian Used  ," 2,586,000                                        
                                    "
 Toyota Corolla,103114,2016, Foreign Used  ," 6,000,000                                        
                                    "
 Lexus Es 350,70445,2011, Foreign Used  ," 5,500,000                                        
                                    "
 Mercedes-Benz Ml350,79200,2013, Foreign Used  ," 13,000,000                                        
                                    "
 Lexus Es 350,116446,2009, Foreign Used  ," 4,500,000                                        
                                    "
 Toyota Corolla,45491,2016, Foreign Used  ," 6,000,000                                        
                                    "
 Toyota Camry,179269,2007, Foreign Used  ," 3,300,000                                        
                                    "
 Toyota Camry,100350,2014, Foreign Used  ," 5,500,000                                        
                                    "
 Lexus Gx 460,64591,2013, Foreign Used  ," 13,000,000                                        
                                    "
 Mercedes-Benz Ml350,127488,2007, Foreign Used  ," 4,500,000                                        
                                    "
 Toyota Camry,133301,2009, Foreign Used  ," 3,594,000                                        
                                    "
 Ford Edge,118007,2015, Foreign Used  ," 7,402,000                                        
                                    "
 Toyota Sienna,153603,2008, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Corolla,101010,2009, Nigerian Used  ," 1,130,000                                        
                                    "
 Honda Pilot,83154,2010, Nigerian Used  ," 2,026,000                                        
                                    "
Lexus Rx 350 ,137468,2007, Nigerian Used  ," 1,950,000                                        
                                    "
 Nissan Pathfinder,135330,2008, Nigerian Used  ," 1,354,000                                        
                                    "
 Kia Sportage,83319,2012, Nigerian Used  ," 5,610,000                                        
                                    "
 Mazda Cx-7,199838,2007, Nigerian Used  ," 2,138,000                                        
                                    "
