,car_name,model,Mileage,Year,Condition,Price
3545,20,214,52310.0,2011,0,14515000
3546,18,358,193892.0,2006,0,2515000
3547,20,78,282613.0,2006,0,2797500
3548,20,97,71584.0,2015,0,6515000
3549,20,78,112019.0,2012,0,5680000
3550,20,78,98697.0,2015,0,8770000
3551,20,190,106800.0,2013,0,9285000
3552,12,211,21204.0,2018,0,6215000
3553,20,78,140309.0,2013,0,9315000
3554,20,355,172709.0,2013,0,4765000
3555,14,54,114936.0,2010,0,8265000
3556,20,215,123938.5,2012,0,8265000
3557,20,355,96091.0,2013,0,8265000
3558,20,78,75422.0,2009,0,10725000
3559,0,222,221505.0,2009,0,11315000
3560,20,78,176996.0,2012,0,8015000
3561,20,190,74479.0,2013,0,7015000
3562,20,78,116368.2,2010,0,8515000
3563,20,97,134462.0,2008,0,2815000
3564,20,190,20820.0,2016,0,15015000
3565,20,259,69601.0,2012,2,25015000
3566,11,146,82310.0,2010,0,3515000
3567,12,168,250414.9,2005,0,5815000
3568,12,211,31504.0,2017,2,42515000
3569,12,120,370921.0,2007,0,4415000
3570,12,120,194550.0,2008,0,4645000
3571,20,309,68326.0,2011,0,5515000
3572,1,265,201050.0,2008,0,5685000
3573,12,279,118888.0,2007,0,5115000
3574,12,279,137471.0,2010,0,7765000
3575,14,54,857506.0,2010,0,5315000
3576,12,120,72443.0,2011,0,50015000
3577,20,190,68453.0,2013,0,5015000
3578,12,279,57451.0,2004,0,7115000
3579,14,166,165901.0,2012,0,4815000
3580,20,309,68208.0,2012,0,8515000
3581,12,279,203162.0,2010,0,7615000
3582,12,279,109763.4,2013,0,3515000
3583,14,223,243717.0,2012,0,4215000
3584,20,275,83554.0,2013,0,4865000
3585,20,97,63380.0,2016,0,7015000
3586,8,301,146372.0,2013,0,8515000
3587,12,120,98219.0,2013,0,9015000
3588,20,190,48415.0,2016,0,13515000
3589,14,54,91406.0,2014,0,13015000
3590,14,54,48013.0,2015,0,13015000
3591,20,78,72283.0,2012,0,5015000
3592,12,211,35751.0,2011,0,30015000
3593,20,214,52310.0,2011,0,14515000
3594,18,358,193892.0,2006,0,2515000
3595,20,78,282613.0,2006,0,2797500
3596,20,97,71584.0,2015,0,6515000
3597,20,78,112019.0,2012,0,5680000
3598,20,78,98697.0,2015,0,8770000
3599,20,190,106800.0,2013,0,9285000
3600,12,211,21204.0,2018,0,6215000
3601,20,78,140309.0,2013,0,9315000
3602,20,355,172709.0,2013,0,4765000
3603,14,54,114936.0,2010,0,8265000
3604,20,215,123938.5,2012,0,8265000
3605,20,355,96091.0,2013,0,8265000
3606,20,78,75422.0,2009,0,10725000
3607,0,222,221505.0,2009,0,11315000
3608,20,78,176996.0,2012,0,8015000
3609,20,190,74479.0,2013,0,8815000
3610,20,78,116368.2,2010,0,4865000
3611,20,97,134462.0,2008,0,2815000
3612,20,190,20820.0,2016,0,15015000
3613,20,259,69601.0,2012,2,25015000
3614,11,146,82310.0,2010,0,3515000
3615,12,168,250414.9,2005,0,5815000
3616,12,211,31504.0,2017,2,42515000
3617,12,120,370921.0,2007,0,4415000
3618,12,120,194550.0,2008,0,4645000
3619,20,309,68326.0,2011,0,5515000
3620,1,265,201050.0,2008,0,5685000
