,car_name,model,Mileage,Year,Condition,Price
6238,hyundai,Elantra,27021.0,2017,Nigerian Used,5050000
6239,lexus,Es,150620.0,2007,Nigerian Used,3370000
6240,land,Rover,69867.0,2005,Nigerian Used,1858000
6241,toyota,Camry,119376.0,2007,Nigerian Used,1354000
6242,nissan,Primera,81126.0,2005,Nigerian Used,1130000
6243,lexus,LS460,103864.0,2008,Nigerian Used,2810000
6244,mercedes-benz,Ml350,174811.0,2006,Nigerian Used,3160000
6245,toyota,Sienna,207524.0,2004,Nigerian Used,1354000
6246,honda,Pilot,73719.0,2003,Nigerian Used,1130000
6247,ford,Ranger,157540.0,1997,Nigerian Used,682000
6248,bmw,3,169872.0,2003,Nigerian Used,794000
6249,lexus,Es,84183.0,2010,Nigerian Used,4490000
6250,toyota,Camry,99883.0,2014,Foreign Used,5050000
6251,lexus,Gx,88242.0,2005,Nigerian Used,3482000
6252,hyundai,Accent,166519.0,2012,Nigerian Used,1186000
6253,pontiac,Vibe,180120.0,2004,Nigerian Used,2026000
6254,land,Rover,109321.0,2006,Nigerian Used,2474000
6255,ford,Ecosport,86200.0,2014,Nigerian Used,3146000
6256,volkswagen,LT,173366.0,2003,Nigerian Used,2474000
6257,mercedes,MI350,100485.0,2006,Nigerian Used,3594000
6258,honda,Accord,101223.0,2010,Foreign Used,3146000
6259,lexus,Rx,424925.0,2001,Nigerian Used,1466000
6260,toyota,Corolla,104388.0,2011,Foreign Used,4042000
6261,acura,Rdx,99727.0,2014,Foreign Used,7290000
6262,toyota,4Runner,60852.0,2003,Nigerian Used,1914000
6263,toyota,Corolla,121519.0,2005,Nigerian Used,1551250
6264,honda,Accord,222137.0,2006,Nigerian Used,1242000
6265,toyota,Camry,166287.0,2007,Foreign Used,2866000
6266,hyundai,Santa,80731.0,2010,Foreign Used,5050000
6267,mercedes-benz,E350,57403.0,2014,Nigerian Used,10650000
6268,volkswagen,Tiguan,89435.0,2011,Nigerian Used,2026000
6269,mercedes-benz,GL450,191442.0,2007,Nigerian Used,5050000
6270,toyota,4Runner,139447.0,2007,Nigerian Used,3258000
6271,mercedes,Benz,133433.0,2006,Foreign Used,1690000
6272,mazda,3,248669.0,2009,Foreign Used,3146000
6273,toyota,Rav4,218940.0,2007,Nigerian Used,2474000
6274,mercedes-benz,C280,327889.0,2007,Nigerian Used,2250000
6275,toyota,CAMRY,104558.0,2012,Nigerian Used,3370000
6276,toyota,Camry,238665.0,2002,Nigerian Used,1354000
6277,toyota,Corolla,96826.0,2005,Foreign Used,2810000
6278,mercedes-benz,Ml350,223771.0,2006,Nigerian Used,3146000
6279,toyota,Camry,71672.0,2007,Nigerian Used,2250000
6280,toyota,Camry,230256.0,2002,Nigerian Used,1298000
6281,toyota,Venza,75218.0,2012,Foreign Used,7850000
6282,mercedes-benz,Ml320,111991.0,2000,Nigerian Used,1130000
6283,toyota,Camry,189986.0,2008,Nigerian Used,2026000
6284,honda,Ridgeline,168909.0,2008,Nigerian Used,3034000
6285,volkswagen,Touareg,302858.0,2006,Foreign Used,4266000
6286,lexus,Es,221612.0,2007,Nigerian Used,3146000
6287,toyota,Camry,319298.0,2009,Foreign Used,3202000
6288,mercedes-benz,GL450,144784.0,2007,Nigerian Used,4266000
6289,honda,City,132621.0,2004,Nigerian Used,738000
6290,toyota,Camry,159006.0,2009,Nigerian Used,2138000
6291,lexus,Rx,163266.0,2004,Nigerian Used,2586000
6293,toyota,Avalon,109986.0,2013,Foreign Used,8186000
6294,honda,Civic,169455.0,2006,Nigerian Used,906000
6295,kia,Cerato,172580.0,2009,Nigerian Used,1130000
6296,honda,Pilot,332437.0,2003,Nigerian Used,1410000
6297,toyota,Avalon,307778.0,2005,Nigerian Used,1578000
6298,toyota,Highlander,194634.0,2007,Nigerian Used,2810000
6299,kia,Rio,92760.0,2007,Nigerian Used,514000
6300,nissan,Qashqai,26430.0,2016,Nigerian Used,4714000
6301,hyundai,Tucson,106008.0,2012,Nigerian Used,2978000
6302,mercedes-benz,GL450,7157.0,2009,Foreign Used,6730000
6303,mercedes-benz,Ml350,63439.0,2013,Nigerian Used,10090000
6304,toyota,Land,98358.0,2007,Nigerian Used,6170000
6305,audi,Q5,187884.0,2012,Nigerian Used,6730000
6306,peugeot,607,236964.0,2004,Nigerian Used,1186000
6307,nissan,Pathfinder,96772.0,2006,Nigerian Used,1130000
6308,ford,Edge,177484.0,2008,Nigerian Used,2810000
6309,infiniti,FX35,183999.0,2009,Foreign Used,5610000
6310,toyota,Camry,96337.0,2006,Foreign Used,2362000
6311,toyota,Camry,511333.0,2013,Foreign Used,4826000
6312,hyundai,Creta,40382.0,2017,Nigerian Used,7178000
6313,toyota,Rav4,108543.0,2007,Nigerian Used,2698000
6314,toyota,Highlander,135945.0,2007,Nigerian Used,2250000
6315,mercedes-benz,E350,122560.0,2010,Foreign Used,6506000
6316,ford,Edge,131981.0,2010,Nigerian Used,2250000
6317,ford,Edge,92016.0,2012,Nigerian Used,3258000
6318,kia,Cerato,53255.0,2013,Nigerian Used,2586000
6319,ford,Focus,296361.0,2002,Nigerian Used,850000
6320,mercedes-benz,C230,152004.0,2006,Foreign Used,3370000
6321,toyota,Avalon,12745.0,2007,Foreign Used,2810000
6322,hyundai,Elantra,82103.0,2014,Nigerian Used,2810000
6323,hyundai,H1,78901.0,2011,Nigerian Used,3370000
6324,mercedes-benz,Ml350,104352.0,2012,Foreign Used,10650000
6325,ford,Edge,163121.0,2007,Nigerian Used,2250000
6326,mercedes-benz,Ml320,218792.0,2001,Nigerian Used,794000
6327,honda,Accord,116388.0,2007,Nigerian Used,1354000
6328,mercedes-benz,GLK,49817.0,2009,Nigerian Used,5162000
6329,toyota,Avalon,249797.0,2007,Foreign Used,3370000
6330,mercedes-benz,C,999999.0,2001,Nigerian Used,794000
6331,toyota,Camry,26839.0,2007,Nigerian Used,2026000
6332,toyota,Camry,184320.0,2007,Nigerian Used,2810000
6333,chevrolet,Malibu,36337.0,2015,Nigerian Used,5834000
6334,mercedes-benz,Ml350,152536.0,2006,Nigerian Used,1690000
6335,honda,Accord,95253.0,2010,Nigerian Used,2810000
6336,mercedes-benz,C300,144059.0,2009,Foreign Used,4490000
6337,hyundai,Ix35,126951.0,2011,Nigerian Used,2810000
6338,nissan,Urvan,55817.0,2007,Nigerian Used,1152400
